id,GPR
ACCOAL,b4069 or b0335
GALUi,b1236
U23GAAT,b0179
UAAGDS,b0085
UAMAS,b0091
UAMAGS,b0088
UGLYCH,b0505
OP4ENH,b0350
HOPNTAL,b0352
3HPPPNH,b0347
AKGDH,b0116 and b0727 and b0726
HPYRRx,b1033 or b3553
GLYCDx,b3945
ASP1DC,b0131
UGMDDS,b0086
UHGADA,b0096
UAGAAT,b1094 and b0181
ATPPRT,b2019
HISTD,b2020
IGPDH,b2022
PRPPS,b1207
PRATPP,b2026
PRMICI,b2024
SERAT,b3607
CYSS,b2421 or b2414
BPNT,b4214
PAPSR,( b2582 and b2762 ) or ( b3781 and b2762 )
ASPK,b3940 or b0002 or b4024
ASAD,b3433
DAPDC,b2838
METAT,b2942
ASCBPL,b4192
ACBIPGT,b1993
ADOCBLS,b1992
ADOCBIK,b1993
TMPK,b0417
HPPPNDO,b0348
DHCINDO,b0348
HKNDDH,b0349
HKNTDH,b0349
GLYCK2,b3124
ENTCS,b0583
SULR,b2764 and b2763
MANPGH,b0732
URDGLYCD,b0517
CBMKr,b0521
AMANAPEr,b3223
ACM6PH,b2428
NNATr,b0639
CYTDH,b0651 or b2162 or b0030
PSERT,b0907
AIRC2,b0522
GAPD,b1779
HEX1,b2388
GND,b2029
TAUDO,b0368
ME2,b2463
ARGSL,b3960
CBPS,b0032 and b0033
GLU5K,b0242
IPPS,b0074
ACOATA,b1094 and b1091
MLTG2,b0403
MLTG1,b0403
AMALT3,b3416
MLTP3,b3417
SPODM,b3908 or b1656
AHCYSNS,b0159
TMK,b1106
NTPP4,b1759 or b2781
NTPP3,b2781 or b2251 or b1759
NTPP6,b2781 or b0905
NTPP7,b2251 or b2781 or b3248
NTPP8,b2781 or b3248
P5CR,b0386
CYANST,b2668 or b3425 or b2521
DHPPDA2,b0414
GMAND,b2053
PPCSCT,b2920
CYTD,b2143
DCYTD,b2143
DBTS,b0778
DCTPD,b2065
DHDPS,b2478
G1PACT,b3730
GART,b1849
CSND,b0337
GF6PTA,b3729
GLUCYS,b2688
GLUN,b0485 or b1524
GLUPRT,b2312
GMPR,b0104
NADS1,b1740
NTRIR2x,b3366 and b3365
OCBT,b4254 or b0273
GARFT,b2500
GPDDA1,b3449
GPDDA2,b3449
PHETA1,b0928 or b4054 or b3770
PPND,b2600
TRPS1,b1260 and b1261
PRAMPC,b2026
MCITL2,b0331
DXYLK,b3564
MDH3,b2210
SOTA,b1748
SGSAD,b1746
PTA2,b2297
MDH2,b2210
ACOTA,b2662 or b1748 or b3359 or b1302
GPDDA5,b3449
PDX5PS,b2564 and b0052
PPBNGS,b0369
PPNCL2,b3639
PRAGSr,b4005
PRFGS,b2557
ETHAAL,b2441 and b2440
MAN1PT2,b2049
AP4AH,b0049
AP5AH,b0049
ADNCYC,b3806
MI1PP,b2533
MCITS,b0333
PPAKr,b3115
NTP3,b3590 or b2918 or b4352 or b4161 or b2727 or b2173 or b4173
PPM2,b4383
MOAT2,b3633
G6PDH2r,b1852
NADH5,b3713 or b1109 or b0046 or b1004
MOHMT,b0134
GMPS,b2507
UDPGD,b2028
GLCRD,b2788 or b2787
PPPNDO,b2540 and b2542 and b2538 and b2539
CHRPL,b4039 or b1096
TDPAGTA,b3791
UACMAMO,b3787
FBA3,b2925
PMPK,b2103
LCADi,b1415
ADK3,b0474
GLUDC,b3517 or b1493
BSORy,b3551
ADSK,b2750
HSDy,b3940 or b0002
CYSTL,b3008 or b1622
SHSL1,b3939
SSALy,b1525 or b2661
3HCINNMH,b0347
BSORx,b3551
FACOAL160t2pp,b1701 or b1805
FACOAL180t2pp,b1701 or b1805
SPODMpp,b1646
NO3R1bpp,b2204 and b2205 and b2202 and b2203 and b2206
PHYTSpp,b0980
PPTHpp,b0383
NO3R2pp,( b1466 and b1467 and b1468 and b1465 ) or ( b1226 and b1224 and b1227 and b1225 )
NTP3pp,b0980
NO3R2bpp,b2203 and b2206 and b2202
THD2pp,b1602 and b1603
TMAOR1pp,( b0997 and b0996 ) or ( b1872 and b1873 )
TMAOR2pp,( b0997 and b0996 ) or ( b1872 and b1873 )
ACACT7r,b2342 or b3845
PSP_L,b4388
ACACT2r,b2342 or b3845
ACACT3r,b2342 or b3845
ACACT4r,b2342 or b3845
AHGDx,b2913
GTPCI,b2153
FDMO,b0935
CHOLD,b0311
DRPA,b4381
TKT2,b2935 or b2465
DMSOR1pp,b1872 and b1873
NTD8pp,b4055 or b0480
TREHpp,b1197
CYTBDpp,( b0978 and b0979 ) or ( b0733 and b0734 and b4515 )
CYTBD2pp,b0978 and b0979
ATPS4rpp,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
ECOAH8,b2341 or b3846
GLCDpp,b0124 or b0837
HYD2pp,( b0974 and b0973 and b0972 ) or ( b2996 and b2994 and b2997 and b2995 )
ECOAH5,b2341 or b3846
DHFS,b2315
ACGAMK,b1119
METS,b4019 or b3829
PRASCSi,b2476
TRSARr,b0509 or b3125
LYXI,b3903
URIH,b0651 or b2162 or b0030
XTSNH,b0030
INSH,b0030
PPK2,b2501
MTHFR2,b3941
ASPO3,b2574
ASPO5,b2574
ASPO4,b2574
ASPO6,b2574
ACACT5r,b3845 or b2342
MALDDH,b1800
DHPS2,b3177
MTHFC,b0529
MTHFD,b0529
QULNS,b0750
ALKP,b2690
L_LACD3,( b0308 and b0306 and b0307 ) or b3605
L_LACD2,( b0306 and b0308 and b0307 ) or b3605
ACACT6r,b2342 or b3845
GLCTR1,b3631
LIPAabcpp,b0914
LIPACabcpp,b0914
GGGABADr,b1300
GLYOX3,b1967
FDMO3,b0935
FDMO4,b0935
O16GLCT1,b2032
O16AP2pp,b2027 and b2035
O16AP3pp,b2027 and b2035
O16A4Lpp,b3622
MALTATr,b0459
ENTERES,b0585
LADGMDH,b1326
ALAGLUE,b1325
GGGABAH,b1298
FRULYSK,b3374
FDMO6,b0935
CYANSTpp,b1308
MCPST,b2521
ECAP1pp,b3785 and b3793 and b3792
UDCPDPpp,b3057 or b1278 or b0841
ECAP2pp,b3785 and b3793 and b3792
ECA4OALpp,b3622
FE3Ri,b3844
NODOy,b2552
GALM2pp,b0756
GLCTR3,b3626
HEPT4,b3623
LA4NTpp,b2257
NODOx,b2552
NHFRBO,b2711 and b2710
42A12BOOXpp,b1386
TYROXDApp,b1386
NTRIR4pp,b4072 and b4070 and b4071 and b4073
NTRIR3pp,b4072 and b4070 and b4071 and b4073
AGM3PA,b0110
ACANTHAT,b1463
METSOXR1,( b3551 and b2582 ) or ( b2582 and b4219 ) or ( b3781 and b4219 ) or ( b3551 and b3781 )
METSOXR2,( b1832 and b3781 ) or ( b2582 and b1778 ) or ( b3781 and b1778 ) or ( b1832 and b2582 )
DAPAL,b2871
AMPTASECG,b2523 or b0932 or b4260 or b0237
LACZpp,b2132
GPDDA1pp,b2239
GPDDA5pp,b2239
FLVR,b3844 or ( b2764 and b2763 )
FDMO2,b0935
LALGP,b0237
AGM4PApp,b2435 or b2817 or b4169 or b0867
AGM4PA,b0110
RNDR3b,( b2676 and b2675 and b1064 ) or ( b0849 and b2676 and b2675 ) or ( b2676 and b2675 and b3610 ) or ( b2676 and b2675 and b1654 )
RNDR4b,( b2676 and b2675 and b1654 ) or ( b0849 and b2676 and b2675 ) or ( b2676 and b2675 and b3610 ) or ( b2676 and b2675 and b1064 )
UDPGALPpp,b0480
UACGAMPpp,b0480
UACGALPpp,b0480
UGLCURPpp,b0480
FEROpp,b0123 or b3336
AM4PCP,b1192
AM3PA,b0110
UM4PCP,b1192
CBLAT,b1270
TDP,b1134
3PEPTabcpp,( b2178 and b2177 and b2180 and b2179 ) or ( b1329 and b1247 and b1245 and b1244 and b1246 ) or ( b1244 and b1247 and b1245 and b1246 and b1243 )
4PEPTabcpp,( b1245 and b1247 and b1243 and b1244 and b1246 ) or ( b2178 and b2177 and b2180 and b2179 )
AGM3Pt2pp,b0433
AGM4Pt2pp,b0433
AGMt2pp,b0433
FEOXAMR1,b4367
FEOXAMR2,b4367
FEOXAMR3,b4367
PTHRpp,b4055 or b0383
ARABDI,b2802
R5PPpp,b4055 or b0383
PSP_Lpp,b4055 or b0383
TYRPpp,b4055
PAPSR2,( b1064 and b2762 ) or ( b3610 and b2762 ) or ( b0849 and b2762 ) or ( b1654 and b2762 )
GRXR,b1654 or b1064 or b3610 or b0849
RNDR1b,( b0849 and b2676 and b2675 ) or ( b2676 and b2675 and b1064 ) or ( b2676 and b2675 and b3610 ) or ( b2676 and b2675 and b1654 )
RNDR2b,( b2676 and b2675 and b1654 ) or ( b0849 and b2676 and b2675 ) or ( b2676 and b2675 and b1064 ) or ( b2676 and b2675 and b3610 )
FACOAE181,b0452
FACOAE160,b0452
FACOAE140,b0452
AAMYL,b1927
AAMYLpp,b3571
FACOAL80t2pp,b1805 or b1701
PPGPPDP,b3650
23PDE2pp,b4213
23PDE4pp,b4213
23PDE9pp,b4213
SARCOX,b1059
MN6PP,b3697 or b0822 or b1727 or b3826
3KGK,b3580
F6PP,b2293 or b3697 or b0822 or b2690 or b3826
GDPMNH,b2051
FACOAL60t2pp,b1805 or b1701
GDPDPK,b2784 or b3650
R15BPK,b4094
GGPTRCS,b1297
FRULYSDG,b3371
ASNNpp,b2957
GLUNpp,b2957
NTD12,b3399 or b2744 or b2291 or b2361
DNTPPA,b1865 or b0099
NTPP9,b2954
NTPP10,b2954
NTPP11,b2954
NTD10pp,b4055 or b0480
NTD1pp,b0480 or b4055
NTD2pp,b0480 or b4055 or b0383
NTD3pp,b0480 or b4055
NTD4pp,b4055 or b0480 or b0383
NTD5pp,b4055 or b0480
NTD6pp,b0480 or b4055
NTD7pp,b4055 or b0480 or b0383
NTD9pp,b4055 or b0480 or b0383
PEAMNOpp,b1386
GAL1PPpp,b1002
